Mens Rank,Country Name,Mens Points,Womens Rank,Womens Points,2020,%Diff
28,Korea Republic,1526.02,18,1850.09,45225.84454,-21.236287859923195
106,Kosovo,1183.9,113,1162.68,11292.86265,1.7923811132697038
95,Kyrgyz Republic,1232.91,125,1120.59,4985.029555,9.110154025841315
183,Laos,914.66,85,1257.98,8238.494568,-37.53525900334551
129,Latvia,1125.36,112,1168.47,31424.90221,-3.8307741522712853
100,Lebanon,1211.71,143,1032.23,11376.79398,14.812125013410801
145,Lesotho,1061.4,167,842.0,2569.337741,20.670812134916154
150,Liberia,1051.25,162,891.31,1468.245239,15.214268727705118
142,Lithuania,1074.08,95,1219.51,38880.54527,-13.539959779532257
93,Luxembourg,1235.36,117,1150.79,117846.1365,6.845777748996238
105,Madagascar,1193.78,181,691.0,1543.952938,42.11663790648193
122,Malawi,1144.77,158,942.66,1591.475591,17.655074818522497
148,Malaysia,1057.59,90,1231.94,27921.41095,-16.4855946066056
156,Maldives,1018.25,156,952.73,13442.38615,6.434569113675422
46,Mali,1442.88,82,1273.24,2347.796674,11.757041472610341
169,Malta,974.68,91,1231.0,43243.17265,-26.297861862354832
180,Mauritius,932.02,185,363.36,20528.83365,61.01371215209974
12,Mexico,1649.57,36,1628.95,18670.8104,1.2500227331971296
177,Moldova,944.96,111,1170.7,12941.89278,-23.888841855739926
184,Mongolia,913.55,129,1111.95,12365.93848,-21.71747578129277
67,Montenegro,1354.59,87,1251.28,19989.65367,7.626661941989823
23,Morocco,1558.35,76,1315.41,7368.891602,15.589565886995851
116,Mozambique,1165.41,170,815.14,1297.298716,30.05551694253525
158,Myanmar,1011.91,48,1517.95,5123.407709,-50.00839995651788
117,Namibia,1164.13,146,1020.53,9358.537168,12.335392095384547
176,Nepal,950.45,102,1196.73,3996.66547,-25.91193645115471
8,Netherlands,1679.41,6,2002.99,59266.90858,-19.26748084148599
103,New Zealand,1198.96,22,1741.94,44657.77372,-45.28758257156202
139,Nicaragua,1079.18,116,1157.63,5573.868729,-7.269408254415394
119,Niger,1155.23,164,877.93,1288.153512,24.003878015633255
31,Nigeria,1504.7,46,1535.09,5185.988584,-2.019671695354547
64,North Macedonia,1375.2,134,1082.42,16719.6901,21.289994182664337
36,Norway,1488.57,13,1889.96,62644.84574,-26.964805148565407
61,Panama,1389.27,57,1425.65,26780.3006,-2.618641444787558
161,Papua New Guinea,997.6,49,1512.43,4285.765475,-51.60685645549319
50,Paraguay,1440.13,51,1510.53,13034.71654,-4.888447570705413
21,Peru,1562.24,74,1334.47,11908.0607,14.579706063088896
134,Philippines,1115.13,53,1479.91,8394.242258,-32.711881125967366
26,Poland,1546.18,32,1647.92,34286.98508,-6.580087700009055
9,Portugal,1678.65,27,1688.06,34177.08571,-0.560569505257192
170,Puerto Rico,974.32,103,1186.72,34333.74725,-21.799819361195496
47,Republic of Ireland,1442.48,26,1695.26,93350.08753,-17.52398646774998
54,Romania,1427.84,40,1574.3,32202.20866,-10.257451815329452
35,Russia,1493.42,24,1717.04,29916.01367,-14.973684562949463
136,Rwanda,1095.04,161,894.87,2213.568598,18.279697545295146
191,Samoa,894.26,99,1212.01,6764.559991,-35.53217185158679
18,Senegal,1584.59,84,1258.35,3503.595017,20.588290977476824
25,Serbia,1549.53,35,1630.68,19093.95531,-5.23707188631392
198,Seychelles,860.48,163,884.64,28338.97714,-2.80773521755299
113,Sierra Leone,1169.71,138,1073.89,1726.964157,8.191774029460287
159,Singapore,1004.75,133,1088.77,99681.29415,-8.362279173923861
51,Slovakia,1439.99,43,1541.41,31356.45828,-7.043104466003242
65,Slovenia,1372.48,45,1536.95,39725.25919,-11.983416880391703
137,Solomon Islands,1092.56,105,1181.11,2618.323702,-8.104818042029725
68,South Africa,1350.55,54,1464.36,13359.48433,-8.426937173744028
6,Spain,1716.93,8,1983.13,37756.351,-15.50441776892477
207,Sri Lanka,825.25,153,968.0,13226.73006,-17.29778854892457
140,St. Kitts and Nevis,1076.91,131,1090.74,25639.2396,-1.2842298799342495
173,St. Lucia,965.66,150,982.0,12708.79451,-1.6921069527577028
179,St. Vincent and the Grenadines,939.97,157,950.85,13402.57954,-1.157483749481366
143,Suriname,1072.24,132,1089.15,16733.38268,-1.5770722972468927
20,Sweden,1563.44,3,2050.18,55064.88501,-31.132630609425355
16,Switzerland,1621.43,21,1775.36,71745.2994,-9.493471811919099
109,Tajikistan,1179.1,142,1033.87,3854.190435,12.317021457043511
131,Tanzania,1121.91,155,965.82,2779.683594,13.912880712356607
111,Thailand,1170.69,41,1555.0,18197.94241,-32.827648651649874
199,Timor-Leste,860.06,152,973.91,4140.95507,-13.237448550101158
126,Togo,1130.22,121,1138.33,2223.316956,-0.7175594132115782
197,Tonga,861.81,94,1221.48,6693.785641,-41.734256970794036
101,Trinidad and Tobago,1205.85,75,1318.11,26125.15329,-9.30961562383381
30,Tunisia,1507.86,78,1298.6,10878.82319,13.877946228429696
42,Turkiye,1475.13,67,1374.84,27235.42583,6.798722824429046
206,Turks and Caicos Islands,832.0,183,664.95,22283.97785,20.078124999999993
90,Uganda,1264.56,159,924.09,2294.147984,26.923989371797298
27,Ukraine,1542.79,34,1643.46,13087.30957,-6.5251913740690615
69,United Arab Emirates,1346.09,104,1181.72,66766.05393,12.210922003729312
13,Uruguay,1640.95,68,1374.14,22728.21533,16.259483835583044
14,USA,1635.01,1,2111.47,63027.67953,-29.14110617060445
77,Uzbekistan,1306.63,47,1523.83,7746.430969,-16.62291543895363
164,Vanuatu,990.55,122,1132.82,3036.116767,-14.36272777749735
97,Vietnam,1218.84,33,1643.66,10904.45215,-34.85445177381774
87,Zambia,1270.8,80,1280.19,3457.328102,-0.738904627006618
123,Zimbabwe,1138.56,128,1115.59,2251.455674,2.017460652051717
