,Country Name,Mens Points,Womens Points,Alpha-3 code,Percentage Difference,HDI rank,Value
98,Madagascar,1193.78,691.0,MDG,42.11663791,173.0,0.501
99,Malawi,1144.77,942.66,MWI,17.65507482,169.0,0.512
100,Malaysia,1057.59,1231.94,MYS,-16.48559461,62.0,0.803
101,Maldives,1018.25,952.73,MDV,6.434569114,90.0,0.747
102,Mali,1442.88,1273.24,MLI,11.75704147,186.0,0.428
103,Malta,974.68,1231.0,MLT,-26.29786186,23.0,0.918
104,Mauritius,932.02,363.36,MUS,61.01371215,63.0,0.802
105,Mexico,1649.57,1628.95,MEX,1.250022733,86.0,0.758
106,Moldova,944.96,1170.7,MDA,-23.88884186,80.0,0.767
107,Mongolia,913.55,1111.95,MNG,-21.71747578,96.0,0.739
108,Montenegro,1354.59,1251.28,MNE,7.626661942,49.0,0.832
109,Morocco,1558.35,1315.41,MAR,15.58956589,123.0,0.683
110,Mozambique,1165.41,815.14,MOZ,30.05551694,185.0,0.446
111,Myanmar,1011.91,1517.95,MMR,-50.00839996,149.0,0.585
112,Namibia,1164.13,1020.53,NAM,12.3353921,139.0,0.615
113,Nepal,950.45,1196.73,NPL,-25.91193645,143.0,0.602
114,Netherlands,1679.41,2002.99,NLD,-19.26748084,10.0,0.941
116,New Zealand,1198.96,1741.94,NZL,-45.28758257,13.0,0.937
117,Nicaragua,1079.18,1157.63,NIC,-7.269408254,126.0,0.667
118,Niger,1155.23,877.93,NER,24.00387802,189.0,0.4
119,Nigeria,1504.7,1535.09,NGA,-2.019671695,163.0,0.535
120,North Macedonia,1375.2,1082.42,MKD,21.28999418,78.0,0.77
121,Norway,1488.57,1889.96,NOR,-26.96480515,2.0,0.961
122,Palestine,1233.72,1103.05,PSE,10.59154427,106.0,0.715
123,Panama,1389.27,1425.65,PAN,-2.618641445,61.0,0.805
124,Papua New Guinea,997.6,1512.43,PNG,-51.60685646,156.0,0.558
125,Paraguay,1440.13,1510.53,PRY,-4.888447571,105.0,0.717
126,Peru,1562.24,1334.47,PER,14.57970606,84.0,0.762
127,Philippines,1115.13,1479.91,PHL,-32.71188113,116.0,0.699
128,Poland,1546.18,1647.92,POL,-6.5800877,34.0,0.876
129,Portugal,1678.65,1688.06,PRT,-0.560569505,38.0,0.866
131,Republic of Ireland,1442.48,1695.26,IRL,-17.52398647,8.0,0.945
132,Romania,1427.84,1574.3,ROU,-10.25745182,53.0,0.821
133,Russia,1493.42,1717.04,RUS,-14.97368456,52.0,0.822
134,Rwanda,1095.04,894.87,RWA,18.27969755,165.0,0.534
