,Player,Progressive Carries,Touches,Expected Assists,Progressive Passes,Passes,Interceptions,Possession-Winning-Tackles,Aerials Won,Pos,Non-Penalty Expected Goals,cluster,Component 1,Component 2
831,Stian Rode Gregersen,2.0276497695852536,54.10138248847927,0.0184331797235023,1.7511520737327189,36.26728110599078,2.672811059907834,1.4746543778801844,2.165898617511521,Defender,0.06,1,-1.3696381125553982,-1.5656089680452647
832,Rodri,6.40625,96.75,0.04375,5.59375,80.84375,1.25,1.4375,2.84375,Midfielder,0.08,2,-2.9027636287326057,1.5022186576851864
833,Rodrigo,3.8095238095238098,46.70634920634921,0.1825396825396825,3.015873015873016,26.46825396825397,0.753968253968254,0.7142857142857143,1.150793650793651,Winger,0.16,3,1.7558881811169604,0.5013328704252166
834,Ángel Rodríguez,2.2674418604651163,27.26744186046512,0.0755813953488372,1.4534883720930234,11.511627906976743,0.2906976744186046,0.7558139534883721,0.9302325581395348,Forward,0.28,0,3.082130407046962,-0.9821306313090314
835,Dani Rodríguez,3.619047619047619,44.12698412698413,0.0952380952380952,2.253968253968254,23.52380952380953,1.0793650793650793,1.2063492063492065,1.492063492063492,Winger,0.09,3,0.817803500746731,-0.4341044531737227
836,Guido Rodríguez,2.419928825622776,62.49110320284697,0.0142348754448398,3.167259786476868,44.23487544483986,1.779359430604982,2.02846975088968,1.1743772241992882,Midfielder,0.03,1,-1.8475439796501214,-0.5992292857349533
837,Ricardo Rodríguez,4.945454545454545,60.94545454545455,0.0581818181818181,3.381818181818182,45.78181818181818,1.8545454545454545,0.8727272727272727,2.2181818181818183,Defender,0.01,6,-0.9654333811120998,-0.1090699177706268
838,Rogério,6.458333333333334,69.42708333333334,0.1145833333333333,3.177083333333333,49.16666666666667,1.7708333333333337,0.6770833333333334,0.5729166666666667,Defender,0.02,2,-0.886955865844706,1.5616977530700613
839,Cristian Romero,3.8536585365853657,74.78048780487805,0.024390243902439,2.5365853658536586,54.48780487804878,2.7804878048780486,2.1951219512195124,2.4390243902439024,Defender,0.03,1,-3.184752625769853,-0.3847635768353447
840,Oriol Romeu,4.485981308411215,62.18068535825545,0.087227414330218,3.894080996884735,43.48909657320872,2.087227414330218,1.6822429906542056,2.2741433021806854,Midfielder,0.04,6,-1.4513965109404694,-0.058141144521636316
841,Cristiano Ronaldo,5.164835164835165,43.36996336996337,0.1135531135531135,1.794871794871795,26.3003663003663,0.1831501831501831,0.293040293040293,1.7582417582417582,Forward,0.52,0,3.5847077497736404,0.5376672850780223
842,Valentin Rongier,7.377049180327869,90.24590163934428,0.0450819672131147,6.106557377049181,72.66393442622952,1.7622950819672132,2.336065573770492,1.1065573770491803,Wingback,0.1,2,-3.33363992559547,2.1691735344686602
843,Marten de Roon,3.3215547703180213,68.19787985865725,0.0212014134275618,4.911660777385159,50.98939929328622,2.3321554770318023,1.6254416961130742,2.15547703180212,Wingback,0.06,1,-2.1140480816286304,-0.5622023969732581
844,Pablo Rosario,4.521452145214521,66.56765676567656,0.0363036303630363,4.554455445544554,50.42904290429043,1.6171617161716172,1.4191419141914192,1.551155115511551,Midfielder,0.04,6,-1.4916351782982356,0.18778955476976888
845,Jérôme Roussillon,4.111675126903553,57.86802030456853,0.065989847715736,3.756345177664975,35.329949238578685,1.218274111675127,0.8121827411167513,1.065989847715736,Defender,0.05,6,0.021745027730470195,0.06910355896965571
846,Amir Rrahmani,2.4923076923076923,68.64615384615385,0.0061538461538461,2.276923076923077,56.18461538461538,1.1076923076923078,0.6461538461538462,2.9846153846153847,Defender,0.11,1,-0.7262765172469977,-0.8975860412314736
847,Antonio Rüdiger,5.548961424332344,81.8694362017804,0.0326409495548961,4.777448071216617,64.15430267062314,1.2759643916913943,0.830860534124629,1.9881305637982196,Defender,0.08,6,-1.5867384252858097,0.8907994170474978
848,Mário Rui,4.819277108433735,82.28915662650601,0.0993975903614457,4.036144578313253,62.37951807228915,1.4759036144578312,1.1746987951807228,0.5421686746987951,Defender,0.05,2,-1.7973791255341776,1.6003467276667216
