Womens Rank,Country Name,Womens Points,Mens Rank,Mens Points,2021 Gender Inequality Index,%Diff,2021
37,Costa Rica,1612.44,34,1500.06,0.256,-7.491700331986728,5139053.0
62,Croatia,1404.39,15,1632.15,0.093,13.954599761051371,3899000.0
97,Cuba,1217.56,167,978.65,0.303,-24.412200480253407,11317498.0
124,Cyprus,1123.46,108,1180.52,0.123,4.833463219598139,1215588.0
28,Czechia,1675.21,32,1502.9,0.12,-11.465167343136596,10703446.0
17,Denmark,1855.49,10,1665.47,0.013,-11.409391943415372,5856733.0
110,Dominican Republic,1173.44,151,1031.86,0.429,-13.720853604171124,10953714.0
65,Ecuador,1377.83,44,1463.74,0.362,5.86921174525531,17888474.0
93,Egypt,1228.15,40,1482.63,0.443,17.16409353648584,104258327.0
118,El Salvador,1148.88,71,1333.48,0.376,13.843477217506068,6518500.0
106,Estonia,1180.34,110,1177.4,0.1,-0.2497027348394621,1329254.0
171,Eswatini,807.89,144,1070.89,0.54,24.55901166319604,1172369.0
127,Ethiopia,1117.66,138,1088.27,0.52,-2.7006165749308626,117876226.0
72,Fiji,1345.58,163,993.37,0.318,-35.45607376908905,902899.0
29,Finland,1669.24,59,1398.41,0.033,-19.366995373316836,5541696.0
5,France,2037.69,4,1764.85,0.083,-15.459670793551869,67499343.0
135,Gabon,1079.87,79,1301.84,0.541,17.05048239414982,2278829.0
123,Gambia,1124.04,124,1137.47,0.611,1.1806904797489222,2486937.0
126,Georgia,1118.09,82,1296.46,0.28,13.758233960168468,3708610.0
2,Germany,2059.75,11,1658.96,0.073,-24.159111732651777,83129285.0
60,Ghana,1416.77,60,1393.47,0.529,-1.672084795510485,31732128.0
61,Greece,1409.31,49,1441.45,0.119,2.229699261160644,10664568.0
83,Guatemala,1259.69,118,1161.96,0.481,-8.41078866742401,17109746.0
136,Guinea,1078.56,83,1294.89,0.621,16.70643838472767,13497237.0
169,Guinea-Bissau,835.18,115,1165.53,0.627,28.343328786045834,2015490.0
88,Guyana,1247.77,172,968.74,0.454,-28.803394099551998,790329.0
56,Haiti,1445.71,88,1269.07,0.635,-13.918853963926349,11541683.0
119,Honduras,1145.7,80,1299.69,0.431,11.848209957759158,10062994.0
44,Hungary,1538.35,37,1486.76,0.221,-3.469961527079012,9709886.0
14,Iceland,1870.66,63,1379.61,0.043,-35.59339233551512,372295.0
