Country Name,Mens Points,Womens Points,Alpha-3 code,Percentage Difference,Gender Inequality Index,Country,YR2021
Korea Republic,1526.02,1850.09,KOR,-21.236287859923195,0.067,"Korea, Rep.",51744876.0
Kyrgyz Republic,1232.91,1120.59,KGZ,9.110154025841316,0.37,Kyrgyz Republic,6694200.0
Laos,914.66,1257.98,LAO,-37.53525900334551,0.478,Lao PDR,7379358.0
Latvia,1125.36,1168.47,LVA,-3.830774152271285,0.151,Latvia,1883162.0
Lebanon,1211.71,1032.23,LBN,14.8121250134108,0.432,Lebanon,6769151.0
Lesotho,1061.4,842.0,LSO,20.670812134916154,0.557,Lesotho,2159067.0
Liberia,1051.25,891.31,LBR,15.214268727705118,0.648,Liberia,5180208.0
Lithuania,1074.08,1219.51,LTU,-13.539959779532255,0.105,Lithuania,2795321.0
Luxembourg,1235.36,1150.79,LUX,6.845777748996238,0.044,Luxembourg,639070.0
Madagascar,1193.78,691.0,MDG,42.11663790648193,0.556,Madagascar,28427333.0
Malawi,1144.77,942.66,MWI,17.655074818522497,0.554,Malawi,19647681.0
Malaysia,1057.59,1231.94,MYS,-16.4855946066056,0.228,Malaysia,32776195.0
Maldives,1018.25,952.73,MDV,6.434569113675422,0.348,Maldives,543620.0
Mali,1442.88,1273.24,MLI,11.75704147261034,0.613,Mali,20855724.0
Malta,974.68,1231.0,MLT,-26.297861862354832,0.167,Malta,516869.0
Mauritius,932.02,363.36,MUS,61.01371215209974,0.347,Mauritius,1266060.0
Mexico,1649.57,1628.95,MEX,1.2500227331971296,0.309,Mexico,130262220.0
Moldova,944.96,1170.7,MDA,-23.888841855739926,0.205,Moldova,2573928.0
Mongolia,913.55,1111.95,MNG,-21.71747578129277,0.313,Mongolia,3329282.0
Montenegro,1354.59,1251.28,MNE,7.626661941989823,0.119,Montenegro,620173.0
Morocco,1558.35,1315.41,MAR,15.589565886995851,0.425,Morocco,37344787.0
Mozambique,1165.41,815.14,MOZ,30.05551694253525,0.537,Mozambique,32163045.0
Myanmar,1011.91,1517.95,MMR,-50.00839995651788,0.498,Myanmar,54806014.0
Namibia,1164.13,1020.53,NAM,12.335392095384549,0.445,Namibia,2587344.0
Nepal,950.45,1196.73,NPL,-25.91193645115471,0.452,Nepal,29674920.0
Netherlands,1679.41,2002.99,NLD,-19.26748084148599,0.025,Netherlands,17533405.0
New Zealand,1198.96,1741.94,NZL,-45.28758257156202,0.088,New Zealand,5122600.0
Nicaragua,1079.18,1157.63,NIC,-7.269408254415394,0.424,Nicaragua,6702379.0
Niger,1155.23,877.93,NER,24.00387801563325,0.611,Niger,25130810.0
Nigeria,1504.7,1535.09,NGA,-2.019671695354547,0.68,Nigeria,211400704.0
North Macedonia,1375.2,1082.42,MKD,21.289994182664337,0.134,North Macedonia,2065092.0
Norway,1488.57,1889.96,NOR,-26.964805148565407,0.016,Norway,5408320.0
Panama,1389.27,1425.65,PAN,-2.618641444787558,0.392,Panama,4381583.0
Papua New Guinea,997.6,1512.43,PNG,-51.60685645549319,0.725,Papua New Guinea,9119005.0
Paraguay,1440.13,1510.53,PRY,-4.888447570705413,0.445,Paraguay,7219641.0
Peru,1562.24,1334.47,PER,14.579706063088896,0.38,Peru,33359416.0
Philippines,1115.13,1479.91,PHL,-32.711881125967366,0.419,Philippines,111046910.0
Poland,1546.18,1647.92,POL,-6.580087700009055,0.109,Poland,37781024.0
Portugal,1678.65,1688.06,PRT,-0.560569505257192,0.067,Portugal,10299423.0
Republic of Ireland,1442.48,1695.26,IRL,-17.52398646774998,0.074,Ireland,5028230.0
Romania,1427.84,1574.3,ROU,-10.257451815329452,0.282,Romania,19115146.0
Russia,1493.42,1717.04,RUS,-14.973684562949463,0.203,Russian Federation,143446060.0
Rwanda,1095.04,894.87,RWA,18.279697545295143,0.388,Rwanda,13276517.0
Samoa,894.26,1212.01,WSM,-35.53217185158679,0.418,Samoa,200144.0
Senegal,1584.59,1258.35,SEN,20.588290977476824,0.53,Senegal,17196308.0
Serbia,1549.53,1630.68,SRB,-5.23707188631392,0.131,Serbia,6844078.0
Sierra Leone,1169.71,1073.89,SLE,8.191774029460287,0.633,Sierra Leone,8141343.0
Singapore,1004.75,1088.77,SGP,-8.362279173923861,0.04,Singapore,5453566.0
Slovakia,1439.99,1541.41,SVK,-7.043104466003242,0.18,Slovak Republic,5447247.0
Slovenia,1372.48,1536.95,SVN,-11.983416880391704,0.071,Slovenia,2107007.0
South Africa,1350.55,1464.36,ZAF,-8.426937173744028,0.405,South Africa,60041996.0
Spain,1716.93,1983.13,ESP,-15.50441776892477,0.057,Spain,47326687.0
Sri Lanka,825.25,968.0,LKA,-17.29778854892457,0.383,Sri Lanka,22156000.0
St. Lucia,965.66,982.0,LCA,-1.6921069527577028,0.381,St. Lucia,184401.0
St. Vincent and the Grenadines,939.97,950.85,VCT,-1.157483749481366,0.39,St. Vincent and the Grenadines,111269.0
Suriname,1072.24,1089.15,SUR,-1.577072297246893,0.427,Suriname,591798.0
Sweden,1563.44,2050.18,SWE,-31.132630609425355,0.023,Sweden,10415811.0
Switzerland,1621.43,1775.36,CHE,-9.4934718119191,0.018,Switzerland,8697723.0
Tajikistan,1179.1,1033.87,TJK,12.317021457043513,0.285,Tajikistan,9749625.0
Tanzania,1121.91,965.82,TZA,13.912880712356609,0.56,Tanzania,61498438.0
Thailand,1170.69,1555.0,THA,-32.827648651649874,0.333,Thailand,69950844.0
Timor-Leste,860.06,973.91,TLS,-13.237448550101158,0.378,Timor-Leste,1343875.0
Togo,1130.22,1138.33,TGO,-0.7175594132115782,0.58,Togo,8478242.0
Tonga,861.81,1221.48,TON,-41.73425697079404,0.631,Tonga,106759.0
Trinidad and Tobago,1205.85,1318.11,TTO,-9.30961562383381,0.344,Trinidad and Tobago,1403374.0
Tunisia,1507.86,1298.6,TUN,13.877946228429696,0.259,Tunisia,11935764.0
Turkiye,1475.13,1374.84,TUR,6.798722824429046,0.272,Turkiye,85042736.0
Turkmenistan,1100.47,1075.41,TKM,2.277208828954896,0.177,Turkmenistan,6117933.0
Uganda,1264.56,924.09,UGA,26.923989371797298,0.53,Uganda,47123533.0
Ukraine,1542.79,1643.46,UKR,-6.5251913740690615,0.2,Ukraine,43814581.0
United Arab Emirates,1346.09,1181.72,ARE,12.210922003729312,0.049,United Arab Emirates,9991083.0
Uruguay,1640.95,1374.14,URY,16.259483835583044,0.235,Uruguay,3485152.0
USA,1635.01,2111.47,USA,-29.14110617060445,0.179,United States,331893745.0
Uzbekistan,1306.63,1523.83,UZB,-16.62291543895363,0.227,Uzbekistan,34915100.0
Venezuela,1405.17,1494.4,VEN,-6.350121337631746,0.492,"Venezuela, RB",28704947.0
Vietnam,1218.84,1643.66,VNM,-34.85445177381774,0.296,Vietnam,98168829.0
Zambia,1270.8,1280.19,ZMB,-0.738904627006618,0.54,Zambia,18920657.0
Zimbabwe,1138.56,1115.59,ZWE,2.017460652051717,0.532,Zimbabwe,15092171.0
