Mens Rank,Country Name,Mens Points,Womens Rank,Womens Points,2021 HDI,%Diff
23,Morocco,1558.35,76,1315.41,0.683,15.589565886995851
116,Mozambique,1165.41,170,815.14,0.446,30.05551694253525
158,Myanmar,1011.91,48,1517.95,0.585,-50.00839995651788
117,Namibia,1164.13,146,1020.53,0.615,12.335392095384547
176,Nepal,950.45,102,1196.73,0.602,-25.91193645115471
8,Netherlands,1679.41,6,2002.99,0.941,-19.26748084148599
103,New Zealand,1198.96,22,1741.94,0.937,-45.28758257156202
139,Nicaragua,1079.18,116,1157.63,0.667,-7.269408254415394
119,Niger,1155.23,164,877.93,0.4,24.003878015633255
31,Nigeria,1504.7,46,1535.09,0.535,-2.019671695354547
64,North Macedonia,1375.2,134,1082.42,0.77,21.289994182664337
36,Norway,1488.57,13,1889.96,0.961,-26.964805148565407
94,Palestine,1233.72,130,1103.05,0.715,10.591544272606432
61,Panama,1389.27,57,1425.65,0.805,-2.618641444787558
161,Papua New Guinea,997.6,49,1512.43,0.558,-51.60685645549319
50,Paraguay,1440.13,51,1510.53,0.717,-4.888447570705413
21,Peru,1562.24,74,1334.47,0.762,14.579706063088896
134,Philippines,1115.13,53,1479.91,0.699,-32.711881125967366
26,Poland,1546.18,32,1647.92,0.876,-6.580087700009055
9,Portugal,1678.65,27,1688.06,0.866,-0.560569505257192
47,Republic of Ireland,1442.48,26,1695.26,0.945,-17.52398646774998
54,Romania,1427.84,40,1574.3,0.821,-10.257451815329452
35,Russia,1493.42,24,1717.04,0.822,-14.973684562949463
136,Rwanda,1095.04,161,894.87,0.534,18.279697545295146
191,Samoa,894.26,99,1212.01,0.707,-35.53217185158679
18,Senegal,1584.59,84,1258.35,0.511,20.588290977476824
25,Serbia,1549.53,35,1630.68,0.802,-5.23707188631392
198,Seychelles,860.48,163,884.64,0.785,-2.80773521755299
113,Sierra Leone,1169.71,138,1073.89,0.477,8.191774029460287
159,Singapore,1004.75,133,1088.77,0.939,-8.362279173923861
51,Slovakia,1439.99,43,1541.41,0.848,-7.043104466003242
65,Slovenia,1372.48,45,1536.95,0.918,-11.983416880391703
137,Solomon Islands,1092.56,105,1181.11,0.564,-8.104818042029725
68,South Africa,1350.55,54,1464.36,0.713,-8.426937173744028
165,South Sudan,983.99,184,649.69,0.385,33.973922499212385
6,Spain,1716.93,8,1983.13,0.905,-15.50441776892477
207,Sri Lanka,825.25,153,968.0,0.782,-17.29778854892457
140,St. Kitts and Nevis,1076.91,131,1090.74,0.777,-1.2842298799342495
173,St. Lucia,965.66,150,982.0,0.715,-1.6921069527577028
179,St. Vincent and the Grenadines,939.97,157,950.85,0.751,-1.157483749481366
143,Suriname,1072.24,132,1089.15,0.73,-1.5770722972468927
20,Sweden,1563.44,3,2050.18,0.947,-31.132630609425355
16,Switzerland,1621.43,21,1775.36,0.962,-9.493471811919099
109,Tajikistan,1179.1,142,1033.87,0.685,12.317021457043511
131,Tanzania,1121.91,155,965.82,0.549,13.912880712356607
111,Thailand,1170.69,41,1555.0,0.8,-32.827648651649874
199,Timor-Leste,860.06,152,973.91,0.607,-13.237448550101158
126,Togo,1130.22,121,1138.33,0.539,-0.7175594132115782
197,Tonga,861.81,94,1221.48,0.745,-41.734256970794036
101,Trinidad and Tobago,1205.85,75,1318.11,0.81,-9.30961562383381
30,Tunisia,1507.86,78,1298.6,0.731,13.877946228429696
42,Turkiye,1475.13,67,1374.84,0.838,6.798722824429046
135,Turkmenistan,1100.47,137,1075.41,0.745,2.277208828954896
90,Uganda,1264.56,159,924.09,0.525,26.923989371797298
27,Ukraine,1542.79,34,1643.46,0.773,-6.5251913740690615
69,United Arab Emirates,1346.09,104,1181.72,0.911,12.210922003729312
13,Uruguay,1640.95,68,1374.14,0.809,16.259483835583044
14,USA,1635.01,1,2111.47,0.921,-29.14110617060445
77,Uzbekistan,1306.63,47,1523.83,0.727,-16.62291543895363
164,Vanuatu,990.55,122,1132.82,0.607,-14.36272777749735
56,Venezuela,1405.17,52,1494.4,0.691,-6.350121337631746
97,Vietnam,1218.84,33,1643.66,0.703,-34.85445177381774
87,Zambia,1270.8,80,1280.19,0.565,-0.738904627006618
123,Zimbabwe,1138.56,128,1115.59,0.593,2.017460652051717
