,Country Name,Mens Points,Womens Points,Alpha-3 code,Percentage Difference,HDI rank,Value,Country,Population
66,Hong Kong,1058.37,1314.35,HKG,-24.18624867,4.0,0.952,"Hong Kong SAR, China",7413100
67,Hungary,1486.76,1538.35,HUN,-3.469961527,46.0,0.846,Hungary,9709886
68,Iceland,1379.61,1870.66,ISL,-35.59339234,3.0,0.959,Iceland,372295
69,India,1198.65,1425.51,IND,-18.92629208,132.0,0.633,India,1393409033
70,Indonesia,1019.19,1209.02,IDN,-18.62557521,114.0,0.705,Indonesia,276361788
71,IR Iran,1558.64,1364.73,IRN,12.44097418,76.0,0.774,"Iran, Islamic Rep.",85028760
72,Israel,1316.35,1365.34,ISR,-3.721654575,22.0,0.919,Israel,9364000
73,Italy,1713.86,1868.29,ITA,-9.010654312,30.0,0.895,Italy,59066225
74,Jamaica,1382.06,1543.93,JAM,-11.71222668,110.0,0.709,Jamaica,2973462
75,Japan,1554.69,1917.07,JPN,-23.30882684,19.0,0.925,Japan,125681593
76,Jordan,1279.74,1377.44,JOR,-7.63436323,102.0,0.72,Jordan,10269022
77,Kazakhstan,1166.28,1234.3,KAZ,-5.832218678,56.0,0.811,Kazakhstan,19002586
78,Kenya,1202.26,991.78,KEN,17.50702843,152.0,0.575,Kenya,54985702
79,Korea Republic,1526.02,1850.09,KOR,-21.23628786,19.0,0.925,"Korea, Rep.",51744876
80,Kyrgyz Republic,1232.91,1120.59,KGZ,9.110154026,118.0,0.692,Kyrgyz Republic,6694200
81,Laos,914.66,1257.98,LAO,-37.535259,140.0,0.607,Lao PDR,7379358
82,Latvia,1125.36,1168.47,LVA,-3.830774152,39.0,0.863,Latvia,1883162
83,Lebanon,1211.71,1032.23,LBN,14.81212501,112.0,0.706,Lebanon,6769151
84,Lesotho,1061.4,842.0,LSO,20.67081213,168.0,0.514,Lesotho,2159067
85,Liberia,1051.25,891.31,LBR,15.21426873,178.0,0.481,Liberia,5180208
86,Lithuania,1074.08,1219.51,LTU,-13.53995978,35.0,0.875,Lithuania,2795321
87,Luxembourg,1235.36,1150.79,LUX,6.845777749,17.0,0.93,Luxembourg,639070
88,Madagascar,1193.78,691.0,MDG,42.11663791,173.0,0.501,Madagascar,28427333
89,Malawi,1144.77,942.66,MWI,17.65507482,169.0,0.512,Malawi,19647681
90,Malaysia,1057.59,1231.94,MYS,-16.48559461,62.0,0.803,Malaysia,32776195
91,Maldives,1018.25,952.73,MDV,6.434569114,90.0,0.747,Maldives,543620
92,Mali,1442.88,1273.24,MLI,11.75704147,186.0,0.428,Mali,20855724
93,Malta,974.68,1231.0,MLT,-26.29786186,23.0,0.918,Malta,516869
94,Mauritius,932.02,363.36,MUS,61.01371215,63.0,0.802,Mauritius,1266060
95,Mexico,1649.57,1628.95,MEX,1.250022733,86.0,0.758,Mexico,130262220
96,Moldova,944.96,1170.7,MDA,-23.88884186,80.0,0.767,Moldova,2573928
97,Mongolia,913.55,1111.95,MNG,-21.71747578,96.0,0.739,Mongolia,3329282
98,Montenegro,1354.59,1251.28,MNE,7.626661942,49.0,0.832,Montenegro,620173
99,Morocco,1558.35,1315.41,MAR,15.58956589,123.0,0.683,Morocco,37344787
100,Mozambique,1165.41,815.14,MOZ,30.05551694,185.0,0.446,Mozambique,32163045
101,Myanmar,1011.91,1517.95,MMR,-50.00839996,149.0,0.585,Myanmar,54806014
102,Namibia,1164.13,1020.53,NAM,12.3353921,139.0,0.615,Namibia,2587344
103,Nepal,950.45,1196.73,NPL,-25.91193645,143.0,0.602,Nepal,29674920
